Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,100nF,
C3,CP_Radial_D5.0mm_P2.50mm,1,0.47uF,
C4,CP_Radial_D5.0mm_P2.50mm,1,10uF,
"C5, C8, C9",CP_Radial_D6.3mm_P2.50mm,3,100uF,
"C6, C7",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,100pF,
J1,JST_B2B-XH-A,1,B2B-XH-A,
"J2, J3",JST_S2B-XH-A,2,S2B-XH-A,
J5,JST_B5B-XH-A,1,B5B-XH-A,
"R1, R2, R6, R7",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,4,330R,
"R10, R11, R12, R19, R20, R3, R5, R8",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,8,10K,
"R13, R14, R15, R16, R17, R18, R21, R22, R23, R24",R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,10,100k,
"R4, R9",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,2,1k,
"U1, U6",DIP-8_W7.62mm_Socket,2,MCT6,
"U10, U11, U12, U13, U14, U4, U8, U9",TO-220-3_Vertical,8,IRFZ44,
"U17, U18, U19, U20, U21, U22, U23, U24, U5, U7",TO-92,10,2N3904,
U2,TO-220-3_Vertical,1,MC33269T-3.3G,
U3,DIP-20_W7.62mm_Socket,1,LT1161,
