Designator,Mid X,Mid Y,Rotation,Layer
C1,179.95,-119.8,180.0,top
C2,179.45,-78.4,0.0,top
C3,134.7,-103.4,90.0,top
C4,120.7,-102.9,0.0,top
C5,177.7,-98.9,0.0,top
C6,152.45,-80.66,0.0,top
C7,152.45,-110.41,0.0,top
C8,152.2,-115.16,180.0,top
C9,152.2,-75.66,180.0,top
J1,184.95,-98.15,90.0,top
J2,179.45,-74.15,180.0,top
J3,179.75,-124.2,0.0,top
J5,91.95,-97.9,270.0,top
R1,91.95,-80.9,90.0,top
R10,104.2,-123.75,270.0,top
R11,132.3,-126.4,0.0,top
R12,132.3,-130.4,0.0,top
R13,117.95,-117.9,270.0,top
R14,118.3,-84.55,270.0,top
R15,165.45,-118.69,90.0,top
R16,194.95,-115.881945,270.0,top
R17,164.45,-80.37,90.0,top
R18,195.25,-79.9,270.0,top
R19,133.45,-68.9,0.0,top
R2,98.45,-88.95,90.0,top
R20,133.45,-73.4,0.0,top
R21,127.95,-115.65,0.0,top
R22,127.95,-121.34,0.0,top
R23,128.95,-79.19,0.0,top
R24,129.03,-85.88,0.0,top
R3,109.6,-95.4,180.0,top
R4,107.45,-75.4,180.0,top
R5,128.1,-95.7,0.0,top
R6,98.45,-106.7,270.0,top
R7,91.95,-115.4,270.0,top
R8,111.45,-121.9,270.0,top
R9,109.6,-100.4,180.0,top
U1,107.97,-87.76,0.0,top
U10,187.45,-76.42,270.0,top
U11,187.55,-108.99,270.0,top
U12,189.55,-119.71,90.0,top
U13,170.35,-109.15,270.0,top
U14,172.4,-119.86,90.0,top
U17,139.085,-121.4,270.0,top
U18,139.085,-115.65,270.0,top
U19,164.675,-107.86,90.0,top
U2,125.7,-106.19,270.0,top
U20,194.95,-105.166945,180.0,top
U21,164.18,-90.655,0.0,top
U22,194.385,-91.13,270.0,top
U23,139.145,-85.9,90.0,top
U24,139.165,-79.13,90.0,top
U3,151.14,-95.51,0.0,top
U4,171.45,-87.36,90.0,top
U5,123.025,-90.9,90.0,top
U6,107.7,-107.9,0.0,top
U7,116.315,-128.67,90.0,top
U8,169.45,-76.48,270.0,top
U9,189.25,-87.44,90.0,top
